,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
1658,CH 8170,CAJ 61161-1,Снуды,CH 8170 (228) Снуд для мальчика,CH 8170 (228) Снуд для мальчика Оранжевый M,Оранжевый,M,12,82,Мужской,"рибана, 95% хлопок, 5% эластан",,,Cherubino,0.588,Sport Spirit
1659,CK 7T112,CAJ 61161-2,Брюки,CK 7T112 (229) Брюки для мальчика,CK 7T112 (229) Брюки для мальчика Оливковый (122)-64,Оливковый,(122)-64,2,475,Мужской,"поплин, 100% хлопок",,,Cherubino,0.25,Desert  adventure
1660,CAK 3505,CAJ 61161-3,Комплекты белья,"CAK 3505 Комплект для девочки (майка, трусы)","CAK 3505 Комплект для девочки (майка, трусы) Белый (122-128)-64",Белый,(122-128)-64,5,180,Женский,"рибана, 100% хлопок",,,Cherubino,0.405,
1661,CSJ 9843,CAJ 61161-4,Комплекты,"CSJ 9843 (233) Комплект для девочки (платье типа ""туника"", бриджи)","CSJ 9843 (233) Комплект для девочки (платье типа ""туника"", бриджи) Голубой (128)-64",Голубой,(128)-64,35,404,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,6.895,Sea World
1662,CJ 6T110,CAJ 61161-5,Рубашки,CJ 6T110 (239) Рубашка для мальчика,CJ 6T110 (239) Рубашка для мальчика Оранжевый (134)-68,Оранжевый,(134)-68,1,475,Мужской,"сорочечная, 100% хлопок",,,Cherubino,0.115,Extreme
1663,CSJ 7858,CAJ 61161-6,Шорты,CSJ 7858 (237) Шорты для мальчика,CSJ 7858 (237) Шорты для мальчика Т.серый (128)-64,Т.серый,(128)-64,3,358,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.504,Stay Wild
1664,CSK 7890,CAJ 61161-7,Бриджи,CSK 7890 (226) Бриджи для девочки,CSK 7890 (226) Бриджи для девочки Лаванда (104)-56,Лаванда,(104)-56,6,135,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.42,Magic Butterflies
1665,CSK 62430,CAJ 61161-8,Футболки,CSK 62430 (226) Футболка для девочки,CSK 62430 (226) Футболка для девочки Св.мята (092)-52,Св.мята,(092)-52,2,194,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.142,Magic Butterflies
1666,CSJ 62408,CAJ 61161-9,Футболки,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Желтый-Белый (152)-80,Желтый-Белый,(152)-80,54,278,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,5.508,Sea World
1667,CSJ 62414,CAJ 61161-10,Футболки,CSJ 62414 (239) Футболка для мальчика,CSJ 62414 (239) Футболка для мальчика Серый меланж (140)-72,Серый меланж,(140)-72,5,280,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.635,Extreme
1668,CSJ 62421,CAJ 61161-11,Футболки,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Коралловый (146)-76,Коралловый,(146)-76,1,255,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.098,Amazing Africa
1669,CSK 62370,CAJ 61161-12,Футболки,CSK 62370 (223) Футболка для девочки,CSK 62370 (223) Футболка для девочки Красный (098)-56,Красный,(098)-56,2,184,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.144,Cherry Girl
1670,CSK 62418,CAJ 61162-1,Футболки,CSK 62418 (231) Футболка для мальчика,CSK 62418 (231) Футболка для мальчика Салатовый (098)-56,Салатовый,(098)-56,1,180,Мужской,"кулирная гладь, 97% хлопок, 3% п/э",,,Cherubino,0.074,Скорость
1671,CSK 62461,CAJ 61162-2,Платья,CSK 62461 (222) Платье для девочки,CSK 62461 (222) Платье для девочки Бирюзовый (116)-60,Бирюзовый,(116)-60,3,265,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.327,Tropical Mood
1672,CSK 62461,CAJ 61162-3,Платья,CSK 62461 (222) Платье для девочки,CSK 62461 (222) Платье для девочки Бирюзовый (134)-68,Бирюзовый,(134)-68,2,304,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.218,Tropical Mood
1673,CSJ 62422,CAJ 61162-4,Платья,"CSJ 62422 (234) Платье типа ""туника"" для девочки","CSJ 62422 (234) Платье типа ""туника"" для девочки Коралловый (134)-68",Коралловый,(134)-68,2,342,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.204,Amazing Africa
1674,CSK 62402,CAJ 61162-5,Футболки,CSK 62402 (230) Футболка для мальчика,CSK 62402 (230) Футболка для мальчика Белый-Т.синий (122)-64,Белый-Т.синий,(122)-64,3,217,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.246,Surf up
1675,CK 7T121,CAJ 61162-6,Шорты,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.серый (110)-60,Т.серый,(110)-60,3,343,Мужской,"поплин, 100% хлопок",,,Cherubino,0.339,Скорость
1676,CSJ 62364,CAJ 61162-7,Футболки,CSJ 62364 (237) Футболка для мальчика,CSJ 62364 (237) Футболка для мальчика Мята (152)-80,Мята,(152)-80,3,243,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.33,Stay Wild
1677,CSK 62399,CAJ 61162-8,Футболки,CSK 62399 (230) Футболка для мальчика,CSK 62399 (230) Футболка для мальчика Белый-Т.синий (104)-56,Белый-Т.синий,(104)-56,3,223,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.237,Surf up
1678,CAJ 61166,CAJ 61162-9,Водолазки,CAJ 61166-1 Водолазка для мальчика,CAJ 61166-1 Водолазка для мальчика Серый меланж (152)-80,Серый меланж,(152)-80,30,269,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан",,,Cherubino,5.13,Школьная коллекция
1679,CAJ 9856 ,CAJ 61162-10,Комплекты,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Красный-Черный (098)-56",Красный-Черный,(098)-56,5,356,Мужской,"кулирная гладь, 100% хлопок",,,Cherubino,0.825,Спортивная коллекция
1680,CAJ 1495 ,CAJ 61162-11,Трусы,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Св.бирюзовый (146)-76,Св.бирюзовый,(146)-76,52,82,Женский,"рибана, 100% хлопок",,,Cherubino,2.08,
1681,CAJ 1495 ,CAJ 61162-12,Трусы,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Св.бирюзовый (152-158)-80,Св.бирюзовый,(152-158)-80,26,82,Женский,"рибана, 100% хлопок",,,Cherubino,1.04,
1682,CAJ 7588,CAJ 61162-13,Шорты,CAJ 7588-1 Шорты для мальчика,CAJ 7588-1 Шорты для мальчика Серый меланж (134)-68,Серый меланж,(134)-68,90,245,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,12.42,Спортивная коллекция
1683,CAJ 62456,CAJ 61162-14,Блузки,CAJ 62456 Джемпер для девочки,CAJ 62456 Джемпер для девочки Св.розовый (146)-76,Св.розовый,(146)-76,9,314,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,1.287,Школьная коллекция
