,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
1012,CAJ 62457 ,CAJ62457/,CAJ 62457 Джемпер для девочки,CAJ 62457 Джемпер для девочки Серебро (134)-68,Серебро,(134)-68,9,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1013,CAJ 61628-1,CAJ61628-1/,CAJ 61628-1 Водолазка для девочки,CAJ 61628-1 Водолазка для девочки Серый меланж (152)-80,Серый меланж,(152)-80,15,Женский,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан"
1014,CAJ 62450,CAJ62450/,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Св.голубой (158)-80,Св.голубой,(158)-80,22,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1015,CAK 62444,CAK62444/,CAK 62444 Водолазка для девочки,CAK 62444 Водолазка для девочки Св.бирюзовый (122)-64,Св.бирюзовый,(122)-64,29,Женский,"кашкорсе, 95% хлопок, 5% эластан"
1016,CAB 5419 ,CAB5419/,"CAB 5419 Комплект для девочки (джемпер, брюки)","CAB 5419 Комплект для девочки (джемпер, брюки) Серый меланж (080)-52",Серый меланж,(080)-52,13,Женский,"кулирная гладь, 100% хлопок"
1017,CAB 5420 ,CAB5420/,"CAB 5420 Комплект для девочки (футболка, шорты)","CAB 5420 Комплект для девочки (футболка, шорты) Сиреневый (086)-52",Сиреневый,(086)-52,22,Женский,"кулирная гладь, 100% хлопок"
1018,CAJ 5432,CAJ5432/,"CAJ 5432 Платье модель ""туника"" для девочки","CAJ 5432 Платье модель ""туника"" для девочки Св.розовый (164)-84",Св.розовый,(164)-84,19,Женский,"кулирная гладь, 100% хлопок"
1019,CAB 1496,CAB1496/,CAB 1496 Трусы ясельные,CAB 1496 Трусы ясельные Персиковый (074)-48,Персиковый,(074)-48,41,Женский,"рибана, 100% хлопок"
1020,CWB 7941 (249),CWB7941(249)/,CWB 7941 (249) Ползунки ясельные,CWB 7941 (249) Ползунки ясельные Бежевый меланж (062)-40,Бежевый меланж,(062)-40,6,Женский,"футер с начесом, 100% хлопок"
1021,CAJ 7969 ,CAJ7969/,CAJ 7969 Бриджи для девочки,CAJ 7969 Бриджи для девочки Фуксия (140)-72,Фуксия,(140)-72,3,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1022,CAK 7966,CAK7966/,CAK 7966 Бриджи для девочки,CAK 7966 Бриджи для девочки Фуксия (098)-56,Фуксия,(098)-56,7,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1023,CH 8185 (232) ,CH8185(232)/,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Морская волна 50-52,Морская волна,50-52,3,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1024,CSJ 62380 (232) ,CSJ62380(232)/,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (146)-76,Бирюзовый,(146)-76,2,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
1025,CSJ 62385 (232),CSJ62385(232)/,CSJ 62385 (232) Футболка для девочки,CSJ 62385 (232) Футболка для девочки Бирюзовый (128)-64,Бирюзовый,(128)-64,2,Женский,"кулирная гладь, 100% хлопок"
1026,CSK 62337 (228),CSK62337(228)/,CSK 62337 (228) Куртка для мальчика,CSK 62337 (228) Куртка для мальчика Серый меланж (134)-68,Серый меланж,(134)-68,1,Мужской,"футер петля, 90% хлопок, 10% п/э"
1027,CSK 62373 (224),CSK62373(224)/,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Арбузный (098)-56,Арбузный,(098)-56,6,Женский,"кулирная гладь, 100% хлопок"
1028,CSK 62373 (224),CSK62373(224)/,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Морская волна (134)-68,Морская волна,(134)-68,3,Женский,"кулирная гладь, 100% хлопок"
1029,CSK 62377 (224) ,CSK62377(224)/,CSK 62377 (224) Джемпер для девочки,CSK 62377 (224) Джемпер для девочки Морская волна (122)-64,Морская волна,(122)-64,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1030,CSK 7841 (222),CSK7841(222)/,CSK 7841 (222) Шорты для мальчика,CSK 7841 (222) Шорты для мальчика Т.синий (122)-64,Т.синий,(122)-64,1,Мужской,"кулирная гладь, 100% хлопок"
1031,CSK 7861 (224),CSK7861(224)/,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (128)-64,Морская волна,(128)-64,4,Женский,"футер петля, 75% хлопок, 25% п/э"
1032,CSJ 62410 (233),CSJ62410(233)/,"CSJ 62410 (233) Платье типа ""туника"" для девочки","CSJ 62410 (233) Платье типа ""туника"" для девочки Желтый (134)-68",Желтый,(134)-68,1,Женский,"кулирная гладь, 100% хлопок"
1033,СK 6T111 (231),СK6T111(231)/,СK 6T111 (231) Рубашка для мальчика,СK 6T111 (231) Рубашка для мальчика Оранжевый (134)-68,Оранжевый,(134)-68,2,Мужской,"сорочечная, 100% хлопок"
1034,CAJ 1471,CAJ1471/,CAJ 1471 Трусы для девочки,CAJ 1471 Трусы для девочки Белый-Роза (146)-76,Белый-Роза,(146)-76,4,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
1035,CAK 1483 ,CAK1483/,CAK 1483 Трусы для девочки,CAK 1483 Трусы для девочки Св.желтый (110-116)-60,Св.желтый,(110-116)-60,10,Женский,"рибана, 100% хлопок"
1036,CAK 1483 ,CAK1483/,CAK 1483 Трусы для девочки,CAK 1483 Трусы для девочки Св.желтый (122-128)-64,Св.желтый,(122-128)-64,5,Женский,"рибана, 100% хлопок"
1037,CSK 62400 (230),CSK62400(230)/,CSK 62400 (230) Футболка для мальчика,CSK 62400 (230) Футболка для мальчика Белый (122)-64,Белый,(122)-64,2,Мужской,"кулирная гладь, 100% хлопок"
1038,CSJ 7858 (237),CSJ7858(237)/,CSJ 7858 (237) Шорты для мальчика,CSJ 7858 (237) Шорты для мальчика Оливковый (134)-68,Оливковый,(134)-68,3,Мужской,"кулирная гладь, 100% хлопок"
